Stage,Model,Time_s,Unit
Training,DLinear_len24_alpha5.0None,10.685574515660603,s/epoch
Training,NLinear_len24_alpha5.0None,10.653216943144798,s/epoch
Training,LTSF_Linear_len24_alpha5.0None,10.173698526162367,s/epoch
Training,DLinear_len24_alpha1.0None,10.438192520141602,s/epoch
Training,DLinear_len24_alpha3.0None,10.163043243544442,s/epoch
Training,DLinear_len24_alpha10.0None,10.181587067517368,s/epoch
Training,DLinear_len24_alpha5.0_seed42,10.147109460830688,s/epoch
Training,DLinear_len24_alpha5.0_seed100,10.1503211368214,s/epoch
Training,DLinear_len24_alpha5.0_seed2024,9.970885403951009,s/epoch
Training,DLinear_len24_alpha5.0_seed777,10.309365376830101,s/epoch
Training,DLinear_len24_alpha5.0_seed99,10.113281235975379,s/epoch
